KOI,KOIpl,kepoi_name,Sep,dmi,e_dmi,dmK,e_dmK,Teff1,E_Teff1,e_Teff1,Rstar1,E_Rstar1,e_Rstar1,Teff2,E_Teff2,e_Teff2,Rstar2,Rstar2/Rstar1,E_Rstar2/Rstar1,e_Rstar2/Rstar1,Mstar1_est,Mstar2_est,Rppri,E_Rppri,e_Rppri,Rpsec,E_Rpsec,e_Rpsec,koi_period,koi_period_err1,koi_period_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_depth,koi_depth_err1,koi_depth_err2,rho_transit,rho_transit_err,rho_pri,rho_sec,p_pri,p_sec
1436,1436.02,K01436.02,0.15,,,2.9,0.05,5763,42,45,0.918,0.011,0.011,3578,20,20,0.3672,0.4,0.008,0.007,0.8985729,0.2858435,1.6,0.44,0.45,6.42,1.79,1.82,13.75129636,6.486e-05,-6.486e-05,25.96,7.7,-7.7,3.853,0.104,-0.104,0.359,0.092,-0.359,348.5,15.0,-15.0,1.242974001017768,1.106036187346319,1.1615163,5.7732496,0.9945014514235736,0.0054985485764263
1436,1436.03,K01436.03,0.15,,,2.9,0.05,5763,42,45,0.918,0.011,0.011,3578,20,20,0.3672,0.4,0.008,0.007,0.8985729,0.2858435,1.34,0.38,0.37,5.38,1.55,1.49,5.41908491,2.176e-05,-2.176e-05,15.26,4.3,-4.3,2.3379,0.0867,-0.0867,0.536,0.396,-0.33,231.0,12.4,-12.4,1.6257245088796994,1.374301845645355,1.1615163,5.7732496,0.9609651285165292,0.0390348714834707
1506,1506.01,K01506.01,1.15,,,2.24,0.01,5848,48,45,0.938,0.015,0.016,3805,25,23,0.47744203,0.509,0.004,0.004,0.92311025,0.3968723,3.02,0.82,0.83,10.05,2.8,2.75,40.4286676,0.0001805,-0.0001805,24.0,11.3,-11.3,7.102,0.179,-0.179,0.872,0.054,-0.618,916.1,25.1,-25.1,0.1136292478406466,0.1605013125749134,1.1185232,3.6466062,0.999946708102583,5.3291897417011954e-05
1521,1521.01,K01521.01,0.06,,,0.48,0.03,5374,62,60,0.814,0.017,0.015,4732,77,75,0.703296,0.864,0.01,0.009,0.7731798,0.6440546,1.76,0.18,0.18,2.44,0.26,0.27,25.9421582,0.0001126,-0.0001126,41.4,16.8,-16.8,4.045,0.104,-0.104,0.577,0.295,-0.372,569.7,20.3,-20.3,1.4165244677611508,1.7244645694483576,1.4335315,1.851434,0.5077370116556442,0.4922629883443558
1531,1531.01,K01531.01,0.38,,,1.23,0.0,6089,72,76,1.021,0.038,0.038,4798,103,103,0.667734,0.654,0.005,0.005,1.0263186,0.6036072,1.36,0.27,0.27,2.43,0.49,0.48,5.69919592,1.367e-05,-1.367e-05,18.429,0.983,-0.983,2.3906,0.0603,-0.0603,0.007,0.444,-0.007,159.4,5.3,-5.3,2.5888888219523105,0.4142727839783691,0.9642839,2.0274208,0.0019131876213465,0.9980868123786534
1589,1589.01,K01589.01,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.44,0.77,0.78,4.22,0.91,0.94,8.72585478,2.992e-05,-2.992e-05,7.0,3.3,-3.3,4.473,0.0658,-0.0658,0.911,0.004,-0.63,446.7,12.8,-12.8,0.0605220210274751,0.0855954297388577,0.8357095,1.2596402,0.975126890310628,0.024873109689372
1589,1589.02,K01589.02,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.8,0.84,0.83,4.64,1.02,1.04,12.88291395,6.888e-05,-6.888e-05,6.24,3.1,-3.1,5.676,0.59,-0.59,0.962,0.048,-0.565,460.5,18.9,-18.9,0.0196680281443074,0.0293129265612274,0.8357095,1.2596402,0.7186052483763574,0.2813947516236426
1589,1589.03,K01589.03,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,3.06,0.68,0.68,3.79,0.83,0.82,27.4345973,0.0001317,-0.0001317,34.3,13.2,-13.2,5.038,0.121,-0.121,0.603,0.022,-0.462,472.6,19.4,-19.4,0.720311659398636,0.8316134609966759,0.8357095,1.2596402,0.5474964927079746,0.4525035072920254
1589,1589.04,K01589.04,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,1.91,0.43,0.42,2.37,0.53,0.53,4.22453631,2.22e-05,-2.22e-05,6.15,2.7,-2.7,3.128,0.119,-0.119,0.823,0.125,-0.563,159.1,10.3,-10.3,0.1751066005319201,0.2306282055786265,0.8357095,1.2596402,0.9692133307894985,0.0307866692105016
1589,1589.05,K01589.05,0.18,,,0.63,0.02,6228,96,90,1.108,0.049,0.047,5647,123,112,0.87642807,0.791,0.006,0.006,1.1367755,0.84799904,2.72,0.6,0.59,3.39,0.77,0.78,44.5520266,0.0004531,-0.0004531,42.6,20.4,-20.4,6.0,0.212,-0.212,0.689,0.253,-0.454,362.1,22.5,-22.5,0.5232739717166957,0.7517457058465205,0.8357095,1.2596402,0.5907855495913037,0.4092144504086963
1648,1648.01,K01648.01,0.15,,,0.7,0.01,5727,82,79,0.91,0.034,0.032,4866,103,101,0.72527003,0.797,0.006,0.006,0.8887953,0.6693059,2.79,0.25,0.26,4.16,0.39,0.4,38.3262237,0.000273,-0.000273,33.3,16.7,-16.7,3.073,0.123,-0.123,0.963,0.001,-0.698,392.1,30.2,-30.2,0.3377348714292293,0.5081236353935253,1.1794446,1.7543873,0.8630498471988778,0.1369501528011222
1656,1656.01,K01656.01,1.06,,,,,6485,116,116,1.245,0.067,0.063,5175,126,122,0.77937,0.626,0.016,0.015,1.3151088,0.7322841,3.85,0.9,0.95,6.31,1.47,1.56,51.3901452,0.0006219,-0.0006219,26.0,12.9,-12.9,5.995,0.213,-0.213,0.946,0.002,-0.654,494.0,37.6,-37.6,0.0894119606639376,0.1330862645267071,0.68148077,1.5468513,0.9998195787945516,0.0001804212054483
1677,1677.01,K01677.01,0.6,,,2.48,0.05,6420,55,53,1.229,0.026,0.025,3979,45,38,0.556737,0.453,0.008,0.007,1.2940166,0.48090866,2.91,0.45,0.43,10.14,1.59,1.54,52.069002,0.0001959,-0.0001959,130.1,21.4,-21.4,3.0089,0.0887,-0.0887,0.275,0.18,-0.275,558.3,23.3,-23.3,10.912107764843498,5.384760326694486,0.6970826,2.7868419,0.3391582170479795,0.6608417829520205
1681,1681.01,K01681.01,0.15,,,0.07,0.02,3695,22,23,0.43,0.014,0.014,3660,21,21,0.41882,0.974,0.007,0.007,0.34820545,0.3369258,2.0,0.34,0.32,2.07,0.32,0.33,6.93910337,3.06e-05,-3.06e-05,6.5,3.2,-3.2,2.977,0.133,-0.133,0.966,0.043,-0.731,614.7,28.6,-28.6,0.0766246704500391,0.1131687440492886,4.379557,4.58619,0.5216241516650417,0.4783758483349582
1681,1681.02,K01681.02,0.15,,,0.07,0.02,3695,22,23,0.43,0.014,0.014,3660,21,21,0.41882,0.974,0.007,0.007,0.34820545,0.3369258,9.73,1.52,1.53,10.03,1.63,1.52,1.992812339,7.832e-06,-7.832e-06,1.971,0.986,-0.986,2.066,0.177,-0.177,1.127,15.76,-0.104,314.8,22.8,-22.8,0.0259037314898735,0.0388753108813018,4.379557,4.58619,0.5046166724312027,0.4953833275687972
1681,1681.03,K01681.03,0.15,,,0.07,0.02,3695,22,23,0.43,0.014,0.014,3660,21,21,0.41882,0.974,0.007,0.007,0.34820545,0.3369258,15.11,2.34,2.37,15.7,2.46,2.49,3.53105835,1.877e-05,-1.877e-05,3.46,1.7,-1.7,1.778,0.225,-0.225,1.213,59.41,-2.797,310.8,33.1,-33.1,0.0446327629092115,0.0657881765424794,4.379557,4.58619,0.5097213355519679,0.4902786644480322
1681,1681.04,K01681.04,0.15,,,0.07,0.02,3695,22,23,0.43,0.014,0.014,3660,21,21,0.41882,0.974,0.007,0.007,0.34820545,0.3369258,14.84,2.26,2.36,15.29,2.38,2.3,21.9139549,0.0002121,-0.0002121,13.18,6.6,-6.6,3.271,0.426,-0.426,1.2,70.91,-5.452,584.4,64.0,-64.0,0.0640530726333424,0.096225405018223,4.379557,4.58619,0.5168608118280645,0.4831391881719354
1700,1700.01,K01700.01,0.28,,,0.55,0.06,5472,102,102,0.837,0.033,0.031,4749,127,122,0.705591,0.843,0.016,0.015,0.80058384,0.6466828,1.9,0.35,0.35,2.71,0.49,0.5,8.03753796,2.269e-05,-2.269e-05,12.7,6.0,-6.0,2.9118,0.068,-0.068,0.821,0.097,-0.578,286.5,10.5,-10.5,0.4259909303667507,0.6037666729607492,1.3653075,1.8409084,0.765955446046658,0.234044553953342
1792,1792.01,K01792.01,0.51,,,2.0,0.02,6594,75,65,1.384,0.058,0.031,4805,87,81,0.700304,0.506,0.005,0.006,1.5011362,0.64063144,6.28,1.35,1.38,13.03,2.82,2.86,88.40678718,8.035e-05,-8.035e-05,48.9,17.7,-17.7,12.3079,0.0782,-0.0782,0.535,0.056,-0.198,1724.4,5.5,-5.5,0.2009974859360074,0.2182610736851123,0.5662548,1.8652991,0.9999435598435396,5.64401564603464e-05
1792,1792.02,K01792.02,0.51,,,2.0,0.02,6594,75,65,1.384,0.058,0.031,4805,87,81,0.700304,0.506,0.005,0.006,1.5011362,0.64063144,1.06,0.23,0.23,2.18,0.5,0.49,1.546222068,8.553e-06,-8.553e-06,1.48,0.411,-0.411,7.998,0.142,-0.142,0.503,0.021,-0.479,49.4,1.2,-1.2,0.0182169923327138,0.0151767240177271,0.5662548,1.8652991,0.8256293416362264,0.1743706583637735
1792,1792.03,K01792.03,0.51,,,2.0,0.02,6594,75,65,1.384,0.058,0.031,4805,87,81,0.700304,0.506,0.005,0.006,1.5011362,0.64063144,1.81,0.42,0.41,3.76,0.8,0.86,9.10969334,2.7e-05,-2.7e-05,8.76,3.5,-3.5,5.3181,0.0677,-0.0677,0.761,0.01,-0.542,126.4,2.7,-2.7,0.1088278545252916,0.1304443461775756,0.5662548,1.8652991,0.9999929947595532,7.00524044670488e-06
1816,1816.01,K01816.01,0.17,,,2.05,0.24,5180,90,90,0.782,0.02,0.021,3741,84,73,0.45512402,0.582,0.046,0.046,0.7353743,0.3738197,4.93,0.63,0.63,13.08,1.75,1.81,10.240611361,5.615e-06,-5.615e-06,57.3,24.9,-24.9,0.9617,0.0241,-0.0241,0.786,0.016,-0.558,2958.0,53.8,-53.8,24.101682475825974,31.420517992045383,1.5377586,3.9652712,0.4868638080326831,0.513136191967317
1830,1830.01,K01830.01,0.46,,,1.37,0.03,5235,77,101,0.779,0.017,0.03,3945,37,37,0.52738297,0.677,0.007,0.007,0.73184955,0.4494254,2.26,0.23,0.22,5.15,0.51,0.52,13.22714056,2.728e-05,-2.728e-05,31.53,1.7,-1.7,3.2861,0.051,-0.051,0.013,0.406,-0.013,812.0,17.8,-17.8,2.406995281501985,0.3893332044294362,1.5481372,3.0639334,0.2314910795020304,0.7685089204979695
1830,1830.02,K01830.02,0.46,,,1.37,0.03,5235,77,101,0.779,0.017,0.03,3945,37,37,0.52738297,0.677,0.007,0.007,0.73184955,0.4494254,3.63,0.35,0.36,8.21,0.79,0.81,198.7106251,0.0007117,-0.0007117,182.85,7.7,-7.7,8.638,0.115,-0.115,0.026,0.387,-0.026,2094.8,35.7,-35.7,2.080070136584105,0.2627816251303955,1.5481372,3.0639334,0.6402485064787308,0.3597514935212693
1833,1833.01,K01833.01,0.02,,,1.44,0.46,4546,35,870,0.627,0.008,0.233,3475,1102,67,0.29218197,0.466,0.991,0.035,0.557936,0.21481606,2.23,1.58,1.01,3.53,0.89,1.09,3.69298623,7.316e-06,-7.316e-06,10.77,5.3,-5.3,1.7744,0.0543,-0.0543,0.775,0.051,-0.531,763.3,25.7,-25.7,1.2306285811176103,1.8168054261624893,2.263507,8.61205,0.9951589669252336,0.0048410330747664
1833,1833.02,K01833.02,0.02,,,1.44,0.46,4546,35,870,0.627,0.008,0.233,3475,1102,67,0.29218197,0.466,0.991,0.035,0.557936,0.21481606,3.33,2.13,1.5,5.24,1.35,1.56,7.68433346,1.413e-05,-1.413e-05,17.43,8.6,-8.6,1.4346,0.0709,-0.0709,0.951,0.029,-0.676,1175.0,49.6,-49.6,1.2048001693256074,1.7833530905680246,2.263507,8.61205,0.9958784981642668,0.004121501835733
1833,1833.03,K01833.03,0.02,,,1.44,0.46,4546,35,870,0.627,0.008,0.233,3475,1102,67,0.29218197,0.466,0.991,0.035,0.557936,0.21481606,1.93,1.22,0.87,3.07,0.8,0.97,5.70940795,1.832e-05,-1.832e-05,18.74,8.5,-8.5,1.622,0.0844,-0.0844,0.751,0.185,-0.542,586.7,34.0,-34.0,2.712450820884714,3.69090159725508,2.263507,8.61205,0.7559721777988164,0.2440278222011835
1835,1835.01,K01835.01,0.05,,,0.03,0.01,5158,55,57,0.772,0.012,0.011,5127,66,67,0.765824,0.992,0.007,0.008,0.7236385,0.7164093,1.36,0.11,0.11,1.39,0.12,0.12,4.580346161,7.038e-06,-7.038e-06,15.71,5.4,-5.4,2.097,0.0384,-0.0384,0.384,0.077,-0.384,308.3,6.8,-6.8,2.482945670081936,2.560389551580354,1.5727863,1.5950499,0.4992395502657831,0.5007604497342169
1835,1835.02,K01835.02,0.05,,,0.03,0.01,5158,55,57,0.772,0.012,0.011,5127,66,67,0.765824,0.992,0.007,0.008,0.7236385,0.7164093,1.23,0.1,0.1,1.26,0.11,0.11,2.248288213,2.61e-06,-2.61e-06,8.578,0.272,-0.272,2.0361,0.0311,-0.0311,0.004,0.46,-0.004,263.2,5.0,-5.0,1.6776038820854204,0.159585540660026,1.5727863,1.5950499,0.4933712460553202,0.5066287539446799
1835,1835.03,K01835.03,0.05,,,0.03,0.01,5158,55,57,0.772,0.012,0.011,5127,66,67,0.765824,0.992,0.007,0.008,0.7236385,0.7164093,1.29,0.11,0.11,1.31,0.11,0.11,6.76690759,1.438e-05,-1.438e-05,23.7,8.4,-8.4,1.7062,0.0533,-0.0533,0.648,0.267,-0.42,249.3,9.4,-9.4,3.9057083533315375,4.152905084555052,1.5727863,1.5950499,0.4992495783519536,0.5007504216480465
1839,1839.01,K01839.01,0.11,,,1.55,0.01,5487,55,52,0.815,0.012,0.012,3951,29,28,0.5216,0.64,0.005,0.005,0.77436733,0.44327372,3.98,2.24,2.24,10.13,5.85,5.76,9.59068586,2.495e-05,-2.495e-05,20.31,5.5,-5.5,3.452,0.071,-0.071,0.359,0.075,-0.359,544.6,15.7,-15.7,1.2236739145077309,0.9941220871185408,1.430455,3.1236272,0.8136182316022424,0.1863817683977575
1839,1839.02,K01839.02,0.11,,,1.55,0.01,5487,55,52,0.815,0.012,0.012,3951,29,28,0.5216,0.64,0.005,0.005,0.77436733,0.44327372,4.99,2.81,3.02,12.72,7.18,7.79,80.4103783,0.0006001,-0.0006001,82.7,40.6,-40.6,3.487,0.192,-0.192,0.913,0.068,-0.638,591.4,46.8,-46.8,1.1752427535105268,1.7308895692573418,1.430455,3.1236272,0.6409729310300046,0.3590270689699953
1841,1841.01,K01841.01,0.31,,,2.1,0.01,5367,50,53,0.808,0.011,0.011,3709,19,18,0.434704,0.538,0.003,0.003,0.76606256,0.35297346,2.0,0.19,0.19,5.93,0.57,0.57,49.6075771,0.0001,-0.0001,87.7,36.9,-36.9,2.9575,0.0599,-0.0599,0.764,0.015,-0.544,626.7,16.2,-16.2,3.682459778861304,4.648213198631086,1.4522123,4.296958,0.473454565029601,0.526545434970399
1845,1845.01,K01845.01,1.99,,,2.89,0.06,4933,37,34,0.756,0.006,0.007,3414,15,13,0.312228,0.413,0.003,0.003,0.70494014,0.23339406,3.86,2.48,2.4,12.7,8.14,7.9,1.970340203,2.276e-06,-2.276e-06,4.74,2.2,-2.2,1.7901,0.0341,-0.0341,0.859,0.033,-0.606,403.2,8.5,-8.5,0.3685427323788439,0.5131607666034534,1.6314993,7.667862,0.999999400376371,5.996236289515329e-07
1845,1845.02,K01845.02,1.99,,,2.89,0.06,4933,37,34,0.756,0.006,0.007,3414,15,13,0.312228,0.413,0.003,0.003,0.70494014,0.23339406,10.4,6.51,6.82,34.05,21.04,22.64,5.05821338,4.738e-06,-4.738e-06,11.53,5.7,-5.7,1.132,0.112,-0.112,1.004,0.042,-0.696,748.3,23.7,-23.7,0.8048758445212875,1.193701382594451,1.6314993,7.667862,0.9997613773865694,0.0002386226134305
1853,1853.01,K01853.01,0.96,,,0.18,0.01,6327,48,48,1.162,0.021,0.021,6141,54,55,1.084146,0.933,0.005,0.005,1.2064453,1.1062664,2.32,0.43,0.43,2.47,0.45,0.46,60.0853848,0.0002239,-0.0002239,42.4,21.0,-21.0,7.007,0.116,-0.116,0.79,0.131,-0.535,432.2,9.6,-9.6,0.283658067686024,0.421473072269328,0.7689344,0.8681532,0.5649162772112651,0.4350837227887348
1857,1857.01,K01857.01,0.16,,,,,6121,90,89,1.068,0.048,0.04,4759,122,118,0.711288,0.666,0.02,0.02,1.0857105,0.653216,3.14,0.62,0.62,5.67,1.07,1.09,88.6440015,0.0002922,-0.0002922,62.8,30.8,-30.8,7.82,0.111,-0.111,0.724,0.003,-0.539,625.5,12.2,-12.2,0.4234630199330228,0.6230570548059126,0.8912517,1.815183,0.8611929553761738,0.1388070446238261
1890,1890.01,K01890.01,0.41,3.44,3.44,2.04,0.01,6603,31,31,1.348,0.027,0.03,4486,72,60,0.66591203,0.494,0.005,0.005,1.4524875,0.6015491,1.5,0.09,0.09,3.8,0.25,0.26,4.33643506,1.148e-05,-1.148e-05,6.29,2.8,-2.8,4.1445,0.0568,-0.0568,0.641,0.267,-0.427,108.5,2.6,-2.6,0.1777958035563414,0.2374379570545735,0.5929836,2.0371382,0.9999629194856644,3.708051433576421e-05
1899,1899.01,K01899.01,1.84,,,,,6094,45,43,1.109,0.016,0.016,5501,48,54,0.97259295,0.877,0.007,0.006,1.1380581,0.96585935,2.52,0.85,0.88,3.15,1.07,1.09,19.76169247,6.983e-05,-6.983e-05,16.87,8.3,-8.3,3.9097,0.0871,-0.0871,0.924,0.032,-0.639,392.5,11.8,-11.8,0.1651704068908303,0.2437903456776333,0.8343914,1.0498338,0.8407570056520516,0.1592429943479484
1899,1899.02,K01899.02,1.84,,,,,6094,45,43,1.109,0.016,0.016,5501,48,54,0.97259295,0.877,0.007,0.006,1.1380581,0.96585935,0.98,0.33,0.31,1.23,0.41,0.4,10.5226374,0.0001833,-0.0001833,12.63,6.3,-6.3,3.864,0.416,-0.416,0.806,0.151,-0.587,68.9,9.5,-9.5,0.2444534129612814,0.3658091452864782,0.8343914,1.0498338,0.7069419993436633,0.2930580006563366
1900,1900.01,K01900.01,0.1,,,0.27,0.03,4745,66,67,0.705,0.016,0.016,4418,59,58,0.65283,0.926,0.01,0.011,0.64600575,0.58681357,1.82,0.2,0.21,2.25,0.27,0.27,5.18498961,1.159e-05,-1.159e-05,18.865,0.491,-0.491,2.1397,0.058,-0.058,0.021,0.415,-0.021,430.1,13.7,-13.7,3.35513432164762,0.2619725871077097,1.84361,2.109113,0.0365613709987912,0.9634386290012088
1906,1906.01,K01906.01,0.52,,,2.71,0.01,5823,56,59,0.957,0.02,0.018,3656,22,21,0.41629502,0.435,0.003,0.003,0.9465421,0.33438864,3.51,0.81,0.83,13.24,3.07,3.1,8.710442022,7.906e-06,-7.906e-06,32.3,16.1,-16.1,0.9425,0.0373,-0.0373,0.935,0.038,-0.679,1196.4,42.0,-42.0,5.967087994087435,8.922921056174092,1.0799512,4.63498,0.4653394577958331,0.5346605422041669
1908,1908.01,K01908.01,1.27,4.11,0.13,3.22,0.01,4413,28,27,0.649,0.006,0.006,3248,12,12,0.226501,0.349,0.002,0.002,0.58251333,0.15625635,1.27,0.09,0.09,3.68,0.25,0.26,12.55111099,3.528e-05,-3.528e-05,26.94,8.4,-8.4,3.1293,0.0729,-0.0729,0.519,0.047,-0.433,494.1,16.4,-16.4,1.6674917657333417,1.5597918521336382,2.1309428,13.447059,0.9999757948400354,2.420515996466665e-05
1908,1908.02,K01908.02,1.27,4.11,0.13,3.22,0.01,4413,28,27,0.649,0.006,0.006,3248,12,12,0.226501,0.349,0.002,0.002,0.58251333,0.15625635,1.1,0.07,0.07,3.19,0.21,0.2,24.0884178,0.0001763,-0.0001763,44.0,17.1,-17.1,3.952,0.14,-0.14,0.376,0.069,-0.376,387.2,20.1,-20.1,1.972317113867106,2.29954245321324,2.1309428,13.447059,0.9991193711605144,0.0008806288394855
1916,1916.01,K01916.01,0.27,,,1.1,0.01,6295,78,70,1.146,0.045,0.047,5149,134,121,0.77813405,0.679,0.006,0.006,1.1857163,0.7308328,2.45,0.56,0.58,3.87,0.9,0.91,20.67876365,6.41e-05,-6.41e-05,26.2,10.8,-10.8,4.6395,0.085,-0.085,0.665,0.297,-0.451,323.9,7.9,-7.9,0.56505405915293,0.6987691418532418,0.7878198,1.5511535,0.6999272403350801,0.3000727596649198
1916,1916.02,K01916.02,0.27,,,1.1,0.01,6295,78,70,1.146,0.045,0.047,5149,134,121,0.77813405,0.679,0.006,0.006,1.1857163,0.7308328,2.09,0.52,0.5,3.31,0.76,0.79,9.59993246,2.139e-05,-2.139e-05,17.2,1.0,-1.0,4.3206,0.0549,-0.0549,0.063,0.362,-0.063,271.2,5.5,-5.5,0.7417955941635843,0.1293829524703926,0.7878198,1.5511535,0.9899156292513688,0.0100843707486313
1916,1916.03,K01916.03,0.27,,,1.1,0.01,6295,78,70,1.146,0.045,0.047,5149,134,121,0.77813405,0.679,0.006,0.006,1.1857163,0.7308328,1.02,0.24,0.25,1.59,0.36,0.37,2.0248205,1.002e-05,-1.002e-05,5.954,0.623,-0.623,2.55,0.118,-0.118,0.248,0.22,-0.248,63.3,3.5,-3.5,0.6916536874795196,0.2171146694489792,0.7878198,1.5511535,0.9726552553512904,0.0273447446487096
